Japanese,Vietnamese
minasan,Mọi người
ikkagetsukan,Trong một tháng
hontō ni,Thật lòng / thật sự
arigatō,Cảm ơn
arigatō gozaimashita,Xin chân thành cảm ơn
senseigata,Các thầy cô
sutaffu,Nhân viên
no,Của
ni,Cho / với / từ / hướng
takusan,Nhiều
no koto,Những điều / chuyện
o,Trợ từ chỉ tân ngữ
oshieru,Dạy
itadakimashita,Đã nhận được (cách nói khiêm nhường)
koko,Ở đây
de,Ở / tại
mananda,Đã học
koto,Điều / việc
Betonamu,Việt Nam
ikashimasu,Áp dụng / phát huy
yasashisa,Sự tử tế / lòng tốt
isshō,Suốt đời / cả đời
wasuremasen,Không quên
mata,Lại / một lần nữa
itsuka,Một ngày nào đó
aeru,Có thể gặp
tanoshimi,Niềm vui / điều mong chờ
shiteimasu,Đang (làm / mong chờ)
kata / gata,Hậu tố tôn trọng ("ngài", "các vị")
kan,Khoảng thời gian
hontō,Thật / chân thật
manabu,Học tập
oshiete,Hãy dạy / đã dạy
wasureru,Quên
au,Gặp