concept,definition
Photosynthesis,The process by which plants convert sunlight into energy using chlorophyll
Democracy,A system of government where citizens have the power to vote for their representatives
Ecosystem,A community of living organisms interacting with their physical environment
Renaissance,A period of cultural rebirth and artistic achievement in Europe from 14th to 17th century
Algorithm,A step-by-step procedure or formula for solving a problem or completing a task
Mitosis,The process of cell division that produces two genetically identical daughter cells
Capitalism,An economic system based on private ownership of production and free market competition
Gravity,The fundamental force that attracts objects with mass toward each other
Metaphor,A figure of speech that makes an implicit comparison between two unlike things
Inflation,A general increase in prices and decrease in the purchasing power of money
Biodiversity,The variety of life forms within ecosystems including species and genetic diversity
Quantum,The smallest discrete unit of any physical property involved in an interaction
Globalization,The process of increased interconnectedness between countries through trade and culture
Empathy,The ability to understand and share the feelings and experiences of others
Sustainability,The practice of meeting present needs without compromising future generations
Entropy,A measure of the randomness or disorder within a thermodynamic system
Rhetoric,The art of effective or persuasive speaking and writing using language techniques
Precedent,An earlier event or action that serves as an example or guide for future situations
Catalyst,A substance that speeds up a chemical reaction without being consumed in the process
Serendipity,The occurrence of pleasant discoveries made by accident or when looking for something else